GEOID,sovi,rank,state_id
g06001,-0.6325618935015761,33.0,g06
g06003,-1.132411062238089,40.0,g06
g06005,0.05425724152948222,23.0,g06
g06007,-0.011175311086288523,24.0,g06
g06009,-0.2279944290950879,30.0,g06
g06011,0.3743434996983731,20.0,g06
g06013,-0.13814664326724835,27.0,g06
g06015,2.843015802944672,9.0,g06
g06017,-4.26748214956829,57.0,g06
g06019,1.6987533636588579,15.0,g06
g06021,2.7412349745103857,10.0,g06
g06023,-1.67012756752329,48.0,g06
g06025,3.844378089537233,5.0,g06
g06027,-0.6629368780438247,34.0,g06
g06029,2.4407951887031394,11.0,g06
g06031,5.500011464507814,1.0,g06
g06033,0.8243768051189513,18.0,g06
g06035,4.63161974530493,4.0,g06
g06037,0.21638845932439582,22.0,g06
g06039,3.8315142000185705,6.0,g06
g06041,-1.4792090666045175,46.0,g06
g06043,-0.08858299401474268,26.0,g06
g06045,0.29892050259091696,21.0,g06
g06047,2.3938121674985613,12.0,g06
g06049,5.174921857341383,3.0,g06
g06051,-4.295685020893934,58.0,g06
g06053,3.2859791405432426,8.0,g06
g06055,1.7300163654480731,14.0,g06
g06057,-2.768976127555999,53.0,g06
g06059,-0.7841843406010502,35.0,g06
g06061,-4.057573814339594,56.0,g06
g06063,-0.9346881085281331,37.0,g06
g06065,-1.7800025388490024,49.0,g06
g06067,-2.899573725867777,54.0,g06
g06069,-0.01624985644799093,25.0,g06
g06071,-2.584778782866627,52.0,g06
g06073,-1.565384204628247,47.0,g06
g06075,5.425293247241406,2.0,g06
g06077,-0.7921730194358707,36.0,g06
g06079,-0.2619894691485402,31.0,g06
g06081,-1.2783918968941979,44.0,g06
g06083,1.9975267758113602,13.0,g06
g06085,-1.2489458278497814,43.0,g06
g06087,-0.2804166998720963,32.0,g06
g06089,-1.0750778942611399,39.0,g06
g06091,-1.9082226572190382,51.0,g06
g06093,-0.17318864869602713,28.0,g06
g06095,-3.711348404349994,55.0,g06
g06097,-1.1325307843784587,41.0,g06
g06099,0.4984146001620141,19.0,g06
g06101,0.8972840222962232,17.0,g06
g06103,1.239684862437407,16.0,g06
g06105,-1.4052232534644284,45.0,g06
g06107,3.632639679165271,7.0,g06
g06109,-0.20217909759700828,29.0,g06
g06111,-1.2385066277004935,42.0,g06
g06113,-1.8129337309400069,50.0,g06
g06115,-0.9388162495915119,38.0,g06
g13001,0.47744027255470706,70.0,g13
g13003,0.744491134109784,64.0,g13
g13005,0.12508826657670064,80.0,g13
g13007,0.29291050793269036,75.0,g13
g13009,0.0019306256967284371,82.0,g13
g13011,-0.017621782730856406,84.0,g13
g13013,-0.11418619977053787,88.0,g13
g13015,-3.0441965044706434,140.0,g13
g13017,1.4045387767240776,37.0,g13
g13019,1.3124291253206541,41.0,g13
g13021,-0.8582146352234341,104.0,g13
g13023,-0.5413036587866329,96.0,g13
g13025,-0.48169054131596784,95.0,g13
g13027,2.0356945853775694,24.0,g13
g13029,-4.409649260673079,151.0,g13
g13031,-2.8695610217022782,137.0,g13
g13033,-0.3953109440920384,93.0,g13
g13035,-0.9022222494085684,106.0,g13
g13037,8.4824902605639,1.0,g13
g13039,-4.851624645795552,156.0,g13
g13043,1.8588749111398686,27.0,g13
g13045,-2.7056165475738423,133.0,g13
g13047,-3.663927942497014,146.0,g13
g13049,1.2647900648301718,43.0,g13
g13051,-1.895791601893805,122.0,g13
g13053,-7.384389858153989,159.0,g13
g13055,0.9865671331320892,56.0,g13
g13057,-3.70543579262038,147.0,g13
g13059,-0.00015080348265061883,83.0,g13
g13061,6.8254166143750075,3.0,g13
g13063,-0.8915743242581581,105.0,g13
g13065,0.7102945439174366,66.0,g13
g13067,-0.6871729417692226,98.0,g13
g13069,0.8769025404669718,57.0,g13
g13071,2.78746523173629,16.0,g13
g13073,-3.226206557390492,143.0,g13
g13075,-0.15540990559000922,90.0,g13
g13077,-2.9780270217246514,138.0,g13
g13079,-3.1408271716718312,141.0,g13
g13081,0.1256439057681018,79.0,g13
g13083,-2.1211043043314026,126.0,g13
g13085,-2.32232577430034,130.0,g13
g13087,0.29666606575478793,74.0,g13
g13089,0.6599082631699944,67.0,g13
g13091,1.1071408703916923,49.0,g13
g13093,3.5464170334111556,12.0,g13
g13095,-1.419018281901622,115.0,g13
g13097,-4.128428889872511,149.0,g13
g13099,1.711377401715447,31.0,g13
g13101,5.336142502483219,6.0,g13
g13103,-5.38676821489663,157.0,g13
g13105,0.2418464519541259,77.0,g13
g13107,1.0119426670022407,55.0,g13
g13109,1.253480030568174,44.0,g13
g13111,-0.782339929536751,100.0,g13
g13113,-2.4499400745965225,131.0,g13
g13115,-0.24355940239202611,91.0,g13
g13117,-1.9030744257014263,123.0,g13
g13119,0.8558223769203729,58.0,g13
g13121,1.2027109717000029,46.0,g13
g13123,1.843101625302349,29.0,g13
